Unnamed: 0,임베딩,BM25,앙상블
Accuracy@1,0.394,0.298,0.335
Precision@1,0.394,0.298,0.335
Recall@1,0.394,0.298,0.335
MRR@1,0.394,0.298,0.335
NDCG@1,0.394,0.298,0.335
MAP@1,0.394,0.298,0.335
Accuracy@3,0.612,0.452,0.574
Precision@3,0.204,0.151,0.191
Recall@3,0.612,0.452,0.574
MRR@3,0.495,0.365,0.44
NDCG@3,0.525,0.388,0.474
MAP@3,0.495,0.365,0.44
Accuracy@5,0.691,0.5,0.702
Precision@5,0.138,0.1,0.14
Recall@5,0.691,0.5,0.702
MRR@5,0.513,0.376,0.469
NDCG@5,0.558,0.407,0.527
MAP@5,0.513,0.376,0.469
Accuracy@10,0.819,0.543,0.702
Precision@10,0.082,0.054,0.14
Recall@10,0.819,0.543,0.702
MRR@10,0.531,0.382,0.469
NDCG@10,0.6,0.421,0.527
MAP@10,0.531,0.382,0.469
