,BGE-m3,OpenAI (large)
Accuracy@1,0.543,0.532
Precision@1,0.543,0.532
Recall@1,0.543,0.532
MRR@1,0.543,0.532
NDCG@1,0.543,0.532
MAP@1,0.543,0.532
Accuracy@3,0.803,0.798
Precision@3,0.268,0.266
Recall@3,0.803,0.798
MRR@3,0.655,0.648
NDCG@3,0.693,0.686
MAP@3,0.655,0.648
Accuracy@5,0.878,0.856
Precision@5,0.176,0.171
Recall@5,0.878,0.856
MRR@5,0.672,0.662
NDCG@5,0.724,0.711
MAP@5,0.672,0.662
Accuracy@10,0.973,0.931
Precision@10,0.097,0.093
Recall@10,0.973,0.931
MRR@10,0.686,0.672
NDCG@10,0.756,0.736
MAP@10,0.686,0.672
