,임베딩,BM25,앙상블
Accuracy@1,0.45,0.2,0.4
Precision@1,0.45,0.2,0.4
Recall@1,0.45,0.2,0.4
MRR@1,0.45,0.2,0.4
NDCG@1,0.45,0.2,0.4
MAP@1,0.45,0.2,0.4
Accuracy@3,0.75,0.45,0.6
Precision@3,0.24999999999999994,0.15,0.2
Recall@3,0.75,0.45,0.6
MRR@3,0.5833333333333333,0.31666666666666665,0.4833333333333333
NDCG@3,0.6261859507142915,0.3511859507142915,0.5130929753571458
MAP@3,0.5833333333333333,0.31666666666666665,0.4833333333333333
Accuracy@5,0.85,0.45,0.75
Precision@5,0.17,0.09,0.15000000000000002
Recall@5,0.85,0.45,0.75
MRR@5,0.6058333333333333,0.31666666666666665,0.5183333333333333
NDCG@5,0.6670624189796882,0.3511859507142915,0.5755032715262122
MAP@5,0.6058333333333333,0.31666666666666665,0.5183333333333333
Accuracy@10,0.95,0.5,0.75
Precision@10,0.09500000000000001,0.05,0.15000000000000002
Recall@10,0.95,0.5,0.75
MRR@10,0.6213095238095238,0.325,0.5183333333333333
NDCG@10,0.701539445001756,0.36899631006969263,0.5755032715262122
MAP@10,0.6213095238095238,0.325,0.5183333333333333
